wave,0_0_flux
3900.0,1719.7402904793862
3900.0600000000004,1503.4711359665016
3900.120000000001,1290.2423455052835
3900.180000000001,1154.9237997986656
3900.2400000000016,1138.0561521327434
3900.300000000002,1216.2889467856803
3900.3600000000024,1418.123775432733
3900.420000000003,1691.4856080199754
3900.480000000003,1941.4948514679852
3900.5400000000036,2075.3403965152143
3900.600000000004,2100.498040771858
3900.6600000000044,2067.9784498463623
3900.720000000005,1977.1654235320898
3900.780000000005,1800.510675788288
3900.8400000000056,1582.5420466843657
3900.900000000006,1338.0270489801878
3900.9600000000064,1150.0431180747735
3901.020000000007,1048.265733811718
3901.080000000007,1005.0004552379814
3901.1400000000076,1028.797329649316
3901.200000000008,1159.0158259796208
3901.2600000000084,1406.0846875729962
3901.320000000009,1666.1677599149398
3901.380000000009,1898.9429827699507
3901.4400000000096,2070.8298680495213
3901.50000000001,2211.955791387072
3901.5600000000104,2328.674276035653
3901.620000000011,2430.7454108665984
3901.680000000011,2473.1269989386665
3901.7400000000116,2491.6178953653402
3901.800000000012,2495.0111698611136
3901.8600000000124,2497.029839011641
3901.920000000013,2497.811930115445
3901.980000000013,2483.557882687765
3902.0400000000136,2479.051928684143
3902.100000000014,2464.192683179027
3902.1600000000144,2395.774314378394
3902.220000000015,2322.071808883931
3902.280000000015,2277.888780955849
3902.3400000000156,2249.9962751916173
3902.400000000016,2245.08514555139
3902.4600000000164,2262.4341779129013
3902.520000000017,2286.127937209105
3902.580000000017,2326.433789590099
3902.6400000000176,2373.779817495636
3902.700000000018,2362.5786904241872
3902.7600000000184,2298.5165800836276
3902.820000000019,2248.0176191376777
3902.880000000019,2217.3615659679745
3902.9400000000196,2200.1118935090053
3903.00000000002,2180.0508634522707
3903.0600000000204,2137.340150731105
3903.120000000021,2053.764633148274
3903.180000000021,1927.2538054201896
3903.2400000000216,1731.3175357674163
3903.300000000022,1471.390465357769
3903.3600000000224,1213.655191509563
3903.420000000023,1066.7097591391735
3903.480000000023,1016.9313488141648
3903.5400000000236,1016.3448402539914
3903.600000000024,1058.254548558949
3903.6600000000244,1149.4719792778956
3903.720000000025,1287.1659735645505
3903.780000000025,1435.2466434025396
3903.8400000000256,1566.139226035693
3903.900000000026,1721.3201387301892
3903.9600000000264,1925.3017270363275
3904.020000000027,2129.3615396359896
3904.080000000027,2228.9043781283613
3904.1400000000276,2187.52175563701
3904.200000000028,2042.7088866148881
3904.2600000000284,1823.763760984665
3904.320000000029,1627.1299801027142
3904.380000000029,1502.583376988056
3904.4400000000296,1477.9327566416548
3904.50000000003,1567.8679949797147
3904.5600000000304,1740.583213959836
3904.620000000031,1968.0717658257822
3904.680000000031,2146.431972578401
3904.7400000000316,2272.4670151630103
3904.800000000032,2320.929823733774
3904.8600000000324,2347.527547689763
3904.920000000033,2330.224944351046
3904.980000000033,2321.154782844926
3905.0400000000336,2302.8060417803904
3905.100000000034,2287.3866281772116
3905.1600000000344,2237.797074363961
3905.220000000035,2165.1438505909096
3905.280000000035,2128.7823749748004
3905.3400000000356,2114.3326991055683
3905.400000000036,2141.6850663704104
3905.4600000000364,2173.04302708207
3905.520000000037,2224.566802380343
3905.580000000037,2296.6407341179943
3905.6400000000376,2341.9980202661263
3905.700000000038,2318.0506499819876
3905.7600000000384,2187.6681603967627
3905.820000000039,1970.5526490780082
3905.880000000039,1686.1496207271405
3905.9400000000396,1396.28252606032
3906.00000000004,1146.057613171594
3906.0600000000404,1009.732694576431
3906.120000000041,1025.6356295193073
3906.180000000041,1160.773802362237
3906.2400000000416,1360.5206351217287
3906.300000000042,1553.5787262696965
3906.3600000000424,1677.1420398553732
3906.420000000043,1723.6103759827358
3906.480000000043,1734.745253171234
3906.5400000000436,1725.1027624945725
3906.600000000044,1702.7356776363665
3906.6600000000444,1666.1474923240444
3906.720000000045,1584.2182345839162
3906.780000000045,1464.0932728050914
3906.8400000000456,1306.7700120552165
3906.900000000046,1126.8360807038453
3906.9600000000464,1033.1732322523078
3907.020000000047,1078.6747728236219
3907.080000000047,1193.886163902617
3907.1400000000476,1337.6313175965909
3907.200000000048,1540.861545464451
3907.2600000000484,1726.5436546503815
3907.320000000049,1846.5800890597725
3907.380000000049,1862.0545264985767
3907.4400000000496,1819.0595891063692
3907.50000000005,1792.2604654923034
3907.5600000000504,1764.5722931085597
3907.620000000051,1687.08572477003
3907.680000000051,1651.9617296434717
3907.7400000000516,1684.6899191070804
3907.800000000052,1745.6991880679639
3907.8600000000524,1829.0100789640474
3907.920000000053,1927.9107845655788
